2024-07-30 21:23:25 status half-configured dbus-bin:amd64 1.14.10-1~deb12u1
2024-07-30 21:23:25 status installed dbus-bin:amd64 1.14.10-1~deb12u1
2024-07-30 21:23:25 configure ncurses-term:all 6.4-4 <none>
2024-07-30 21:23:25 status unpacked ncurses-term:all 6.4-4
2024-07-30 21:23:25 status half-configured ncurses-term:all 6.4-4
2024-07-30 21:23:25 status installed ncurses-term:all 6.4-4
2024-07-30 21:23:25 configure libxdmcp6:amd64 1:1.1.2-3 <none>
2024-07-30 21:23:25 status unpacked libxdmcp6:amd64 1:1.1.2-3
2024-07-30 21:23:25 status half-configured libxdmcp6:amd64 1:1.1.2-3
2024-07-30 21:23:25 status installed libxdmcp6:amd64 1:1.1.2-3
2024-07-30 21:23:25 configure libxcb1:amd64 1.15-1 <none>
2024-07-30 21:23:25 status unpacked libxcb1:amd64 1.15-1
2024-07-30 21:23:25 status half-configured libxcb1:amd64 1.15-1
2024-07-30 21:23:25 status installed libxcb1:amd64 1.15-1
2024-07-30 21:23:25 configure libedit2:amd64 3.1-20221030-2 <none>
2024-07-30 21:23:25 status unpacked libedit2:amd64 3.1-20221030-2
2024-07-30 21:23:25 status half-configured libedit2:amd64 3.1-20221030-2
2024-07-30 21:23:25 status installed libedit2:amd64 3.1-20221030-2
2024-07-30 21:23:25 configure dbus-daemon:amd64 1.14.10-1~deb12u1 <none>
2024-07-30 21:23:25 status unpacked dbus-daemon:amd64 1.14.10-1~deb12u1
2024-07-30 21:23:25 status half-configured dbus-daemon:amd64 1.14.10-1~deb12u1
2024-07-30 21:23:25 status installed dbus-daemon:amd64 1.14.10-1~deb12u1
2024-07-30 21:23:25 configure dbus:amd64 1.14.10-1~deb12u1 <none>
